sample,score,fault,predicted_fault
393,0.4544536028892525,1,0
394,0.8228628381382422,1,0
395,2.4985120932099925,1,0
396,0.5337537778496326,1,0
397,0.22053414258483972,1,0
398,0.2833441997924728,1,0
399,1.215523497937873,1,0
400,0.8864686146180701,1,0
401,0.3147625963750986,1,0
402,0.3620647485354711,1,0
403,0.4952165782516976,1,0
404,0.4821928387203579,1,0
405,0.2580090593529532,1,0
406,0.5140244578676886,1,0
407,0.46795761008173203,1,0
408,0.3701880128791895,1,0
409,0.42233156225193486,1,0
410,1.1352809040874818,1,0
411,0.4596150451277812,1,0
412,0.3085145372070806,1,0
413,0.2381461115643228,1,0
414,0.4827254431148732,1,0
415,0.27849111248493824,1,0
416,1.7147918124440011,1,0
417,0.7969932797771226,1,0
418,0.9163835795324369,1,0
419,0.7204189193434032,1,0
420,0.4883091803103672,1,0
421,0.3150661384805962,1,0
422,2.330182038676246,1,0
423,0.26270263025754087,1,0
424,0.5622937028662451,1,0
425,0.8298415128054796,1,0
426,3.4820679775234256,1,0
427,0.3099964002815289,1,0
428,0.46629935525146843,1,0
429,0.4531638896701883,1,0
430,2.874974465475718,1,0
431,1.0145523711424262,1,0
432,0.3607592198251369,1,0
433,0.4577062735924824,1,0
434,1.0329727284454953,1,0
435,0.8567906895578534,1,0
436,0.2311370296797612,1,0
437,0.4042560321694746,1,0
438,0.524918690833186,1,0
439,0.4854913193239353,1,0
440,1.0783064025134448,1,0
441,0.7455706615113858,1,0
442,0.5248417006767125,1,0
443,0.35251942921269014,1,0
444,1.0835349622006798,1,0
445,2.614958155207871,1,0
446,0.9089271642883323,1,0
447,0.51281092176849,1,0
448,0.4449870527882819,1,0
449,0.7180055586680997,1,0
450,0.21431238752230766,1,0
451,0.6119742774638254,1,0
452,0.9909482093275366,1,0
453,0.24724804462131342,1,0
454,0.3180099974380191,1,0
455,0.5863793380909802,1,0
456,1.1526183723650214,1,0
457,0.2813584017261786,1,0
458,0.638349196740482,1,0
459,0.28934917710177127,1,0
460,0.5833243063434693,1,0
461,0.757162698771485,1,0
462,1.6064969553938435,1,0
463,0.6596262134250152,1,0
464,0.6954727394962906,1,0
465,0.8061124085880901,1,0
466,0.28797004142380955,1,0
467,0.47133780219307636,1,0
468,0.48361700753365144,1,0
469,1.9091539683860865,1,0
470,0.42581913449857844,1,0
471,0.407258492675476,1,0
472,0.5931519212305333,1,0
473,2.3740404262207453,1,0
474,0.42369761550190055,1,0
475,1.60849262142901,1,0
476,0.6342421997715003,1,0
477,0.5742641112581125,1,0
478,1.0876628164319253,1,0
479,1.9183258733861397,1,0
480,0.9471369684906272,1,0
481,1.338245953241983,1,0
482,1.2478101055361286,1,0
483,0.7311114709568043,1,0
484,0.15901138821045865,1,0
485,0.5485583299562647,1,0
486,0.3719064139346716,1,0
487,0.4397710907446306,1,0
488,0.7024829818780806,1,0
489,0.4660991812286989,1,0
490,1.23132758223654,1,0
491,0.3167933175025524,1,0
492,1.1810845098614826,1,0
493,0.47554985887146706,1,0
494,0.8978727653718208,1,0
495,0.9904045640728257,1,0
496,3.071248185476482,1,0
497,0.9972711782780289,1,0
498,1.454460900220987,1,0
499,0.947496446346232,1,0
500,6.517136203504745,0,0
501,3.9006604575154205,0,0
502,3.5938496495184378,0,0
503,3.732325515043274,0,0
504,4.78189717978043,0,0
505,5.6462567029173165,0,0
506,4.854746152392969,0,0
507,9.61233157022879,0,0
508,0.7328847584879928,0,0
509,3.898893168215502,0,0
510,2.766675935901854,0,0
511,2.400425007446127,0,0
512,3.7108505849271167,0,0
513,6.468183540228383,0,0
514,3.112104041537248,0,0
515,7.9404062955080565,0,0
516,10.029244687847662,0,0
517,5.684478494905025,0,0
518,1.4823922421026903,0,0
519,8.435934968079016,0,0
520,4.152942324914035,0,0
521,3.483483525937044,0,0
522,5.7379951793548205,0,0
523,1.9569782327050114,0,0
524,8.215157558768347,0,0
525,7.53403287220283,0,0
526,19.592230998743695,0,1
527,2.796204798335148,0,0
528,4.384581132320735,0,0
529,8.716069161441032,0,0
530,0.3684961759767737,0,0
531,4.494631797877897,0,0
532,3.996141190799411,0,0
533,7.678451712237761,0,0
534,13.101004156420665,0,1
535,2.774799870400332,0,0
536,7.222461102826502,0,0
537,7.284352751326787,0,0
538,7.497703811044413,0,0
539,5.275466415379325,0,0
540,6.653070615228099,0,0
541,1.8774648613892653,0,0
542,10.21517177433794,0,0
543,1.8496190284871554,0,0
544,1.66716383410479,0,0
545,3.842465485830145,0,0
546,1.795035351095056,0,0
547,5.905850886496005,0,0
548,3.93925857182799,0,0
549,2.8088715273232134,0,0
550,1.5306245353035781,0,0
551,7.656770994338712,0,0
552,6.287582275448717,0,0
553,0.839699731537766,0,0
554,6.0403905539104965,0,0
555,3.2621411426080877,0,0
556,0.5714675865439572,0,0
557,1.774680668991419,0,0
558,7.987539942884438,0,0
559,9.343116994419917,0,0
560,7.76149191490005,0,0
561,2.904929855673925,0,0
562,5.56105118171952,0,0
563,5.656493320335403,0,0
564,0.18372765078659994,0,0
565,6.297111285074434,0,0
566,6.389129704356884,0,0
567,12.31401514238478,0,1
568,9.578480876549317,0,0
569,4.451738010726796,0,0
570,5.470735463655267,0,0
571,4.582466485214429,0,0
572,3.9290768467365162,0,0
573,0.7953055300365665,0,0
574,1.98445309222623,0,0
575,3.586827493568922,0,0
576,6.313471535049453,0,0
577,6.060045323790478,0,0
578,4.27684500941778,0,0
579,1.0262427668564382,0,0
580,6.008118003431446,0,0
581,3.713925797227962,0,0
582,1.5220207497768854,0,0
583,1.9364247629103872,0,0
584,13.086363045803054,0,1
585,3.4715148235083575,0,0
586,7.319028358103621,0,0
587,0.44525752308265315,0,0
588,6.693118753670367,0,0
589,6.310810282947452,0,0
590,5.535649313271161,0,0
591,1.2046304952848683,0,0
592,4.495305281354344,0,0
593,2.6183938329875995,0,0
594,1.2773993120450857,0,0
595,0.3854637491570027,0,0
596,1.0680248760707718,0,0
597,1.8422264695244244,0,0
598,6.835358020185264,0,0
599,2.526160608820147,0,0
600,2.7784196098249625,0,0
601,8.071235044185748,0,0
602,4.2345351397835325,0,0
603,3.0503894224896757,0,0
604,4.163672440524517,0,0
605,2.8553140906631205,0,0
606,0.37755275617823597,0,0
607,5.369210495175599,0,0
608,4.7275609887164105,0,0
609,4.1213641555791325,0,0
610,3.8336996389805775,0,0
611,3.126099539979287,0,0
